JTT+FC+BU{0.413500}, partition_194 = 103615-103873
MTZOA+FC+BU{0.869812}, partition_195 = 103874-104287
JTT+FC+BU{1.259534}, partition_196 = 104288-104634
JTT+FC+BU{1.273613}, partition_197 = 104635-104869
JTT-DCMUT+FC+BU{0.239407}, partition_198 = 104870-106000
JTT-DCMUT+FC+BU{0.676827}, partition_199 = 106001-107252
HIVB+FC+BU{1.184712}, partition_200 = 107253-107623
JTT+FC+BU{0.590381}, partition_201 = 107624-108507
LG+FC+BU{1.486207}, partition_202 = 108508-109037
MTZOA+FC+BU{0.764812}, partition_203 = 109038-109532
JTT+FC+BU{0.872764}, partition_204 = 109533-110073
JTT+FC+BU{1.688224}, partition_205 = 110074-110472
JTT+BU{1.931989}, partition_206 = 110473-111016
MTZOA+FC+BU{1.189003}, partition_207 = 111017-111458
JTT+FC+BU{0.723122}, partition_208 = 111459-111942
JTT+FC+BU{0.981412}, partition_209 = 111943-112640
LG+BU{0.677062}, partition_210 = 112641-113101
RTREV+FC+BU{0.166095}, partition_211 = 113102-113416
JTT+FC+BU{0.829092}, partition_212 = 113417-114090
JTT+FC+BU{1.518034}, partition_213 = 114091-114561
JTT-DCMUT+FC+BU{0.947399}, partition_214 = 114562-115460
LG+FC+BU{1.095949}, partition_215 = 115461-115964
JTT+FC+BU{0.179635}, partition_216 = 115965-116272
MTZOA+FC+BU{2.184177}, partition_217 = 116273-116517
JTT+BU{1.208508}, partition_218 = 116518-116790
JTT+FC+BU{0.560584}, partition_219 = 116791-117403
JTT+FC+BU{0.279120}, partition_220 = 117404-117715
JTT+FC+BU{1.095960}, partition_221 = 117716-118300
JTT+FC+BU{0.286507}, partition_222 = 118301-119150
JTT+FC+BU{0.507574}, partition_223 = 119151-120119
JTT+BU{0.536111}, partition_224 = 120120-120733
JTT+FC+BU{2.261948}, partition_225 = 120734-121258
JTT+FC+BU{0.658286}, partition_226 = 121259-122252
JTT-DCMUT+FC+BU{1.958403}, partition_227 = 122253-122643
LG+FC+BU{1.031880}, partition_228 = 122644-123144
JTT+FC+BU{1.546630}, partition_229 = 123145-124160
JTT+FC+BU{0.184004}, partition_230 = 124161-124675
JTT-DCMUT+FC+BU{1.797854}, partition_231 = 124676-125082
VT+FC+BU{0.075870}, partition_232 = 125083-125519
JTT-DCMUT+FC+BU{0.890161}, partition_233 = 125520-126198
HIVB+FC+BU{0.325355}, partition_234 = 126199-126581
LG+FC+BU{1.167472}, partition_235 = 126582-126918
JTT-DCMUT+FC+BU{0.653787}, partition_236 = 126919-127180
JTT+FC+BU{0.243222}, partition_237 = 127181-127636
JTT-DCMUT+FC+BU{0.382797}, partition_238 = 127637-128380
HIVB+FC+BU{0.381094}, partition_239 = 128381-128582
JTT+FC+BU{1.392526}, partition_240 = 128583-128969
JTT-DCMUT+FC+BU{1.043114}, partition_241 = 128970-129298
LG+FC+BU{0.457083}, partition_242 = 129299-129662
JTT+FC+BU{0.698853}, partition_243 = 129663-130080
JTT+FC+BU{2.073441}, partition_244 = 130081-130396
JTT+FC+BU{2.446348}, partition_245 = 130397-130832
JTT+FC+BU{0.292937}, partition_246 = 130833-131196
JTT+FC+BU{2.683785}, partition_247 = 131197-131529
