JTT+BU{0.986271}, partition_337 = 214915-215027
JTT+FC+BU{0.385033}, partition_338 = 215028-215138
JTT-DCMUT+FC+BU{0.339668}, partition_339 = 215139-216137
HIVB+FC+BU{0.575375}, partition_340 = 216138-216192
JTT+FC+BU{0.559818}, partition_341 = 216193-217472
JTT+FC+BU{0.616676}, partition_342 = 217473-218124
JTT+FC+BU{1.024882}, partition_343 = 218125-218672
JTT+FC+BU{2.899844}, partition_344 = 218673-219076
JTT+FC+BU{0.768166}, partition_345 = 219077-220162
JTT+FC+BU{0.687209}, partition_346 = 220163-221025
JTT+FC+BU{0.562978}, partition_347 = 221026-221378
JTT-DCMUT+FC+BU{0.504027}, partition_348 = 221379-221733
JTT+FC+BU{0.611254}, partition_349 = 221734-222496
JTT+FC+BU{0.182514}, partition_350 = 222497-223347
JTT+FC+BU{0.335542}, partition_351 = 223348-223865
JTT+FC+BU{0.577084}, partition_352 = 223866-224508
JTT-DCMUT+FC+BU{1.003678}, partition_353 = 224509-225285
JTT+FC+BU{0.624574}, partition_354 = 225286-225986
JTT+FC+BU{0.127445}, partition_355 = 225987-226348
JTT+FC+BU{0.535701}, partition_356 = 226349-227048
JTT+FC+BU{0.819603}, partition_357 = 227049-227690
MTMAM+FC+BU{0.222909}, partition_358 = 227691-227717
JTT+FC+BU{0.719523}, partition_359 = 227718-228132
FLU+FC+BU{0.932210}, partition_360 = 228133-228931
JTT+BU{0.568490}, partition_361 = 228932-229042
JTT-DCMUT+FC+BU{0.564652}, partition_362 = 229043-229299
JTT+FC+BU{0.869881}, partition_363 = 229300-230036
JTT+FC+BU{0.508469}, partition_364 = 230037-230558
JTT+FC+BU{2.157072}, partition_365 = 230559-230842
JTT-DCMUT+BU{0.337726}, partition_366 = 230843-231487
HIVB+FC+BU{0.476680}, partition_367 = 231488-231591
JTT+FC+BU{1.351734}, partition_368 = 231592-232373
JTT+FC+BU{0.462968}, partition_369 = 232374-232569
JTT+FC+BU{0.495905}, partition_370 = 232570-233187
JTT+FC+BU{0.557893}, partition_371 = 233188-233766
DAYHOFF+FC+BU{0.318263}, partition_372 = 233767-233837
JTT+FC+BU{0.546585}, partition_373 = 233838-234021
MTART+FC+BU{0.476087}, partition_374 = 234022-234314
JTT+FC+BU{1.425922}, partition_375 = 234315-235091
JTT-DCMUT+FC+BU{1.258138}, partition_376 = 235092-235824
WAG+FC+BU{1.598830}, partition_377 = 235825-237193
WAG+FC+BU{1.108415}, partition_378 = 237194-237328
